center_name,center_slug,country,boutique_name,status,has_deals,boutique_path
Val d'Europe,val-d-europe,France,ACUITIS,Ouvert,True,/boutiques-restaurants/acuitis
Val d'Europe,val-d-europe,France,Activate,Fermé,False,/boutiques-restaurants/activate
Val d'Europe,val-d-europe,France,Axess,Ouvert,True,/boutiques-restaurants/axess
Val d'Europe,val-d-europe,France,Auchan,Ouvert,False,/boutiques-restaurants/auchan
Val d'Europe,val-d-europe,France,Aubade,Ouvert,True,/boutiques-restaurants/aubade
Val d'Europe,val-d-europe,France,Atol,Ouvert,True,/boutiques-restaurants/atol
Val d'Europe,val-d-europe,France,Aroma-Zone,Ouvert,False,/boutiques-restaurants/aroma-zone
Val d'Europe,val-d-europe,France,Armand Thiery Homme,Ouvert,False,/boutiques-restaurants/armand-thiery-homme
Val d'Europe,val-d-europe,France,Armand Thiery Femme,Ouvert,False,/boutiques-restaurants/armand-thiery-femme
Val d'Europe,val-d-europe,France,Aquarium Sea Life,Ouvert,True,/boutiques-restaurants/aquarium-sea-life
Val d'Europe,val-d-europe,France,Apple Store,Ouvert,False,/boutiques-restaurants/apple-store
Val d'Europe,val-d-europe,France,adidas,Ouvert,True,/boutiques-restaurants/adidas
Val d'Europe,val-d-europe,France,Balaboosté,Ouvert,True,/boutiques-restaurants/balabooste
Val d'Europe,val-d-europe,France,BRENDY'S CAFÉ,Ouvert,True,/boutiques-restaurants/brendy-s-caf
Val d'Europe,val-d-europe,France,BEXLEY,Ouvert,False,/boutiques-restaurants/bexley
Val d'Europe,val-d-europe,France,Bonobo Jeans,Ouvert,True,/boutiques-restaurants/bonobo-jeans
Val d'Europe,val-d-europe,France,Brioche Dorée - Les terrasses,Ouvert,False,/boutiques-restaurants/brioche-doree-les-terrasses
Val d'Europe,val-d-europe,France,Brioche Dorée,Ouvert,False,/boutiques-restaurants/brioche-doree
Val d'Europe,val-d-europe,France,Big Fernand,Ouvert,True,/boutiques-restaurants/big-fernand
Val d'Europe,val-d-europe,France,Baboo Tea,Ouvert,False,/boutiques-restaurants/baboo-tea
Val d'Europe,val-d-europe,France,Bouygues Telecom,Ouvert,False,/boutiques-restaurants/bouygues-telecom
